ང ལ {'rel_weight': 0.9983860794415356, 'rel_center': 0.9994102806092077, 'rel_inertia': 0.9999496620217092}
ང ཤ {'rel_weight': 0.9910230916588794, 'rel_center': 0.9975668327950107, 'rel_inertia': 0.9996486610342067}
ང ས {'rel_weight': 0.9932360174868453, 'rel_center': 0.9991579116506044, 'rel_inertia': 0.9999046111896619}
ང ཧ {'rel_weight': 0.9889049258789624, 'rel_center': 0.9980935344781695, 'rel_inertia': 0.9996534920800225}
ང ཨ {'rel_weight': 0.9881886513981221, 'rel_center': 0.9991663892479299, 'rel_inertia': 0.9998252630906815}
ང ཀྵ {'rel_weight': 0.9675086644415639, 'rel_center': 0.9953883468879801, 'rel_inertia': 0.9988072880488252}
ང ཪ {'rel_weight': 0.9977896485508747, 'rel_center': 0.9991813130149553, 'rel_inertia': 0.9999262013588761}
ང ཫ {'rel_weight': 0.9916553289698257, 'rel_center': 0.998635831766631, 'rel_inertia': 0.9997100822298229}
ང ཬ {'rel_weight': 0.9916553289698257, 'rel_center': 0.998635831766631, 'rel_inertia': 0.9997100822298229}
ཅ ཀ {'rel_weight': 0.9987910783967947, 'rel_center': 0.9990219940132704, 'rel_inertia': 0.9995473863654224}
ཅ ཁ {'rel_weight': 0.9992091374323047, 'rel_center': 0.9994763081207049, 'rel_inertia': 0.9998454526227847}
ཅ ག {'rel_weight': 0.996610272212596, 'rel_center': 0.9991963111499341, 'rel_inertia': 0.9995319652237505}
ཅ ང {'rel_weight': 0.9936210816576552, 'rel_center': 0.9991873174692957, 'rel_inertia': 0.9999803543352553}
ཅ ཅ {'rel_weight': 0.9983856295833949, 'rel_center': 0.9998266993051861, 'rel_inertia': 0.9999533646453457}
ཅ ཆ {'rel_weight': 0.9939569908672263, 'rel_center': 0.9998559169598634, 'rel_inertia': 0.9998990106183255}
ཅ ཇ {'rel_weight': 0.9970868595130774, 'rel_center': 0.9988719113714213, 'rel_inertia': 0.9998943097518715}
ཅ ཉ {'rel_weight': 0.9951136208654705, 'rel_center': 0.998192496980153, 'rel_inertia': 0.9996773462576894}
ཅ ཏ {'rel_weight': 0.9985584273180723, 'rel_center': 0.9988761117258704, 'rel_inertia': 0.9995856794461964}
ཅ ཐ {'rel_weight': 0.9981320071018522, 'rel_center': 0.9997931229864707, 'rel_inertia': 0.9999464011343884}
ཅ ད {'rel_weight': 0.9990350146185537, 'rel_center': 0.9983549775608052, 'rel_inertia': 0.9995109380153612}
ཅ ན {'rel_weight': 0.9936532013014224, 'rel_center': 0.9982970684397174, 'rel_inertia': 0.9995663883121053}
ཅ པ {'rel_weight': 0.9923557563101784, 'rel_center': 0.9997581754869941, 'rel_inertia': 0.9999541300555}
ཅ ཕ {'rel_weight': 0.9954020131489275, 'rel_center': 0.9998801133871408, 'rel_inertia': 0.9999622123090685}
ཅ བ {'rel_weight': 0.9953351237032458, 'rel_center': 0.9996295530594286, 'rel_inertia': 0.9999302171115579}
ཅ མ {'rel_weight': 0.9996760384730022, 'rel_center': 0.9996551030113376, 'rel_inertia': 0.999949478873658}
ཅ ཙ {'rel_weight': 0.9922150782192682, 'rel_center': 0.9979331908129393, 'rel_inertia': 0.9995069784050457}
ཅ ཚ {'rel_weight': 0.987992681960618, 'rel_center': 0.9981964910472875, 'rel_inertia': 0.9994570349922853}
ཅ ཛ {'rel_weight': 0.9911197635462322, 'rel_center': 0.9980784330188327, 'rel_inertia': 0.9994466949118497}
ཅ ཝ {'rel_weight': 0.9986058073420968, 'rel_center': 0.9991577071554018, 'rel_inertia': 0.9998715581990567}
ཅ ཞ {'rel_weight': 0.9917022591357094, 'rel_center': 0.9979183568658089, 'rel_inertia': 0.9995725793375481}
ཅ ཟ {'rel_weight': 0.9991952021311209, 'rel_center': 0.999841549965179, 'rel_inertia': 0.9999557772316913}
ཅ འ {'rel_weight': 0.994791646957083, 'rel_center': 0.9995725729126677, 'rel_inertia': 0.9999428309724906}
ཅ ཡ {'rel_weight': 0.9942676796325772, 'rel_center': 0.9993216863799617, 'rel_inertia': 0.99986213882543}
ཅ ར {'rel_weight': 0.9900898763377146, 'rel_center': 0.9998374894341074, 'rel_inertia': 0.999906991862412}
ཅ ལ {'rel_weight': 0.9905692506984326, 'rel_center': 0.9998020587183657, 'rel_inertia': 0.999926344708485}
ཅ ཤ {'rel_weight': 0.9988399204019823, 'rel_center': 0.9979196277988535, 'rel_inertia': 0.9996797982733636}
ཅ ས {'rel_weight': 0.9989471537700517, 'rel_center': 0.9993902918060448, 'rel_inertia': 0.9999342780792326}
ཅ ཧ {'rel_weight': 0.9967217546220654, 'rel_center': 0.9982611284772931, 'rel_inertia': 0.9996846994415907}
ཅ ཨ {'rel_weight': 0.996005480141225, 'rel_center': 0.9999407661356532, 'rel_inertia': 0.9998429930789193}
ཅ ཀྵ {'rel_weight': 0.9753254931846669, 'rel_center': 0.9952710955393658, 'rel_inertia': 0.9988385983510069}
ཅ ཪ {'rel_weight': 0.9899728198077717, 'rel_center': 0.9997037020100455, 'rel_inertia': 0.9999270055337819}
ཅ ཫ {'rel_weight': 0.9838385002267227, 'rel_center': 0.9987205264185005, 'rel_inertia': 0.9997298063466702}
ཅ ཬ {'rel_weight': 0.9838385002267227, 'rel_center': 0.9987205264185005, 'rel_inertia': 0.9997298063466702}
ཆ ཀ {'rel_weight': 0.994799718049616, 'rel_center': 0.9989938141849406, 'rel_inertia': 0.9995947452984872}
ཆ ཁ {'rel_weight': 0.9952177770851259, 'rel_center': 0.9993653235794027, 'rel_inertia': 0.9998926584433645}
ཆ ག {'rel_weight': 0.9993983674402253, 'rel_center': 0.9992353698857438, 'rel_inertia': 0.9995800799419688}
ཆ ང {'rel_weight': 0.9896297213104764, 'rel_center': 0.9992565829391511, 'rel_inertia': 0.9999656871379273}
ཆ ཅ {'rel_weight': 0.9976230100694263, 'rel_center': 0.9995913579251305, 'rel_inertia': 0.999996974893462}
ཆ ཆ {'rel_weight': 0.9979483512144051, 'rel_center': 0.9998230876109154, 'rel_inertia': 0.9999483696739719}
ཆ ཇ {'rel_weight': 0.9989217801397439, 'rel_center': 0.9989035464786766, 'rel_inertia': 0.9999436621829919}
ཆ ཉ {'rel_weight': 0.9991049812126492, 'rel_center': 0.9983203727619915, 'rel_inertia': 0.9997248634225883}
ཆ ཏ {'rel_weight': 0.997450212334749, 'rel_center': 0.9991150179925938, 'rel_inertia': 0.9996265187148635}
ཆ ཐ {'rel_weight': 0.997876632550969, 'rel_center': 0.9996891840771356, 'rel_inertia': 0.999977591055187}
ཆ ད {'rel_weight': 0.9969736250342676, 'rel_center': 0.9985608560747603, 'rel_inertia': 0.9995594788133287}
ཆ ན {'rel_weight': 0.9976445616486012, 'rel_center': 0.9984899949805848, 'rel_inertia': 0.9996116251801553}
ཆ པ {'rel_weight': 0.9883643959629996, 'rel_center': 0.9999276791928033, 'rel_inertia': 0.99992267707062}
ཆ ཕ {'rel_weight': 0.9914106528017488, 'rel_center': 0.999666107080252, 'rel_inertia': 0.9999481137189729}
ཆ བ {'rel_weight': 0.9913437633560671, 'rel_center': 0.9994008146145067, 'rel_inertia': 0.9999794569689147}
ཆ མ {'rel_weight': 0.996332601179819, 'rel_center': 0.9995554636672527, 'rel_inertia': 0.9999790390257752}
ཆ ཙ {'rel_weight': 0.996206438566447, 'rel_center': 0.9976852500979281, 'rel_inertia': 0.9995552191201239}
ཆ ཚ {'rel_weight': 0.9919840423077967, 'rel_center': 0.9979485556668491, 'rel_inertia': 0.9995055127700249}
ཆ ཛ {'rel_weight': 0.9951111238934109, 'rel_center': 0.9978609351642868, 'rel_inertia': 0.9994954003993609}
ཆ ཝ {'rel_weight': 0.9974028323107245, 'rel_center': 0.9992639153642042, 'rel_inertia': 0.999899250773602}
ཆ ཞ {'rel_weight': 0.9956936194828881, 'rel_center': 0.9980013573866626, 'rel_inertia': 0.999621373348645}
ཆ ཟ {'rel_weight': 0.9952038417839422, 'rel_center': 0.9995959784016554, 'rel_inertia': 0.999957757963473}
